date,prec,tmin,tmean,tmax,qt
1982-01-01,4.71,25.2,25.7,26.2,6.788
1982-01-02,18.8,24.5,25,25.5,6.898
1982-01-03,26.35,24,24.5,25,6.669
1982-01-04,18.22,25.9,26.4,26.9,6.822
1982-01-05,6.61,24.9,25.4,25.9,6.822
1982-01-06,7.45,24.5,25,25.5,6.507
1982-01-07,7.81,25.35,25.85,26.35,6.389
1982-01-08,5.79,24.7,25.2,25.7,6.49
1982-01-09,11.01,25.5,26,26.5,6.117
1982-01-10,9.53,25.45,25.95,26.45,5.811
1982-01-11,12.53,26.4,26.9,27.4,5.819
1982-01-12,19.77,24.75,25.25,25.75,5.802
1982-01-13,41.61,24.45,24.95,25.45,8.317
1982-01-14,49.11,21.75,22.25,22.75,16.702
1982-01-15,38.77,22.3,22.8,23.3,17.195
1982-01-16,13.1,21.95,22.45,22.95,21.595
1982-01-17,0.09,21.25,21.75,22.25,14.502
1982-01-18,1.86,23.5,24,24.5,10.9
1982-01-19,2.68,25.05,25.55,26.05,9.209
1982-01-20,0.33,24.95,25.45,25.95,8.529
1982-01-21,0.68,25.75,26.25,26.75,8.13
1982-01-22,0.73,26.15,26.65,27.15,7.68
1982-01-23,2.29,26.35,26.85,27.35,7.629
1982-01-24,0,25.95,26.45,26.95,7.408
1982-01-25,0.34,26.2,26.7,27.2,7.17
1982-01-26,0.21,26,26.5,27,6.966
1982-01-27,4.96,25.1,25.6,26.1,6.873
1982-01-28,13.77,26.4,26.9,27.4,6.711
1982-01-29,3.16,23,23.5,24,6.55
1982-01-30,0.39,25.25,25.75,26.25,6.448
1982-01-31,0,24.65,25.15,25.65,6.338
1982-02-01,0.54,24.65,25.15,25.65,6.151
1982-02-02,0.11,25.55,26.05,26.55,6.108
1982-02-03,0.79,25.85,26.35,26.85,6.006
1982-02-04,2.76,25.65,26.15,26.65,5.811
1982-02-05,3.08,24.8,25.3,25.8,5.658
1982-02-06,0,25.05,25.55,26.05,5.556
1982-02-07,2.21,24.9,25.4,25.9,5.556
1982-02-08,1.44,25.8,26.3,26.8,5.556
1982-02-09,0.08,25.4,25.9,26.4,5.412
1982-02-10,0.44,25.15,25.65,26.15,5.378
1982-02-11,0.75,26.35,26.85,27.35,5.378
1982-02-12,11.85,25.1,25.6,26.1,5.301
1982-02-13,11.43,26.05,26.55,27.05,5.497
1982-02-14,2.22,24.85,25.35,25.85,6.397
1982-02-15,0.67,23.4,23.9,24.4,5.437
1982-02-16,1.28,25.65,26.15,26.65,5.369
1982-02-17,15.8,26,26.5,27,5.08
1982-02-18,0.54,26.15,26.65,27.15,4.919
1982-02-19,0.12,24.9,25.4,25.9,4.842
1982-02-20,1.56,25.4,25.9,26.4,4.723
1982-02-21,10.1,24.65,25.15,25.65,4.672
1982-02-22,8.99,26.4,26.9,27.4,4.672
1982-02-23,22.05,25,25.5,26,4.698
1982-02-24,8.77,26,26.5,27,5.097
1982-02-25,7.19,25.35,25.85,26.35,4.927
1982-02-26,2.61,24.85,25.35,25.85,4.749
1982-02-27,44.05,27.45,27.95,28.45,5.199
1982-02-28,14.34,27.55,28.05,28.55,5.233
1982-03-01,80.58,27.5,28,28.5,6.72
1982-03-02,12.85,24.6,25.1,25.6,16.795
1982-03-03,7.11,23.95,24.45,24.95,9.362
1982-03-04,1.86,24.25,24.75,25.25,6.363
1982-03-05,1.72,26,26.5,27,5.31
1982-03-06,0,25.65,26.15,26.65,5.004
1982-03-07,0,26.4,26.9,27.4,4.672
1982-03-08,0,26.8,27.3,27.8,4.528
1982-03-09,25.19,27.15,27.65,28.15,4.367
1982-03-10,2.4,26.05,26.55,27.05,4.367
1982-03-11,26.42,25.9,26.4,26.9,4.469
1982-03-12,15.43,26,26.5,27,5.038
1982-03-13,2.54,22.65,23.15,23.65,4.868
1982-03-14,0,23.6,24.1,24.6,4.426
1982-03-15,0,25.75,26.25,26.75,4.197
1982-03-16,0.59,26.9,27.4,27.9,4.316
1982-03-17,0.57,27.65,28.15,28.65,4.282
1982-03-18,0,27.65,28.15,28.65,4.239
1982-03-19,0,27.35,27.85,28.35,3.882
1982-03-20,0,26.75,27.25,27.75,3.738
1982-03-21,0.57,28.45,28.95,29.45,3.628
1982-03-22,1.72,28.65,29.15,29.65,6.397
1982-03-23,2,26.75,27.25,27.75,4.638
1982-03-24,0,27.1,27.6,28.1,3.78
1982-03-25,0,26.9,27.4,27.9,3.628
1982-03-26,0,25.35,25.85,26.35,3.296
1982-03-27,3.72,26.3,26.8,27.3,3.33
1982-03-28,6.48,25.95,26.45,26.95,3.356
1982-03-29,3.44,24.1,24.6,25.1,3.424
1982-03-30,1.46,25.05,25.55,26.05,3.449
1982-03-31,0,24.45,24.95,25.45,3.424
1982-04-01,0,24.3,24.8,25.3,2.2
1982-04-02,0.11,25.1,25.6,26.1,2.158
1982-04-03,0.03,26.05,26.55,27.05,2.107
1982-04-04,0,25.55,26.05,26.55,2.107
1982-04-05,0.13,24.9,25.4,25.9,2.107
1982-04-06,2.29,25.85,26.35,26.85,2.107
1982-04-07,4.48,26.25,26.75,27.25,2.107
1982-04-08,2.04,24.5,25,25.5,2.107
1982-04-09,0,26.15,26.65,27.15,2.022
1982-04-10,0.02,26.6,27.1,27.6,2.013
1982-04-11,0,26.35,26.85,27.35,2.013
1982-04-12,0.25,26.3,26.8,27.3,1.988
1982-04-13,8.91,25.85,26.35,26.85,2.039
1982-04-14,1.21,26.05,26.55,27.05,2.328
1982-04-15,2.76,24.1,24.6,25.1,2.047
1982-04-16,0.43,25.8,26.3,26.8,2.039
